"","Symbol","logFC","logCPM","LR","PValue","FDR","sgRNA","Gene_Regulation"
"HGLibB_02690","ARGFX",-5.81442973335589,3.85191240557485,10.5119428932152,0.00118605485627981,0.00956070277134783,"HGLibB_02690","Depleted in ToxA"
"HGLibA_02738","ARHGAP25",2.77029483823214,5.05283357802652,10.5109368277768,0.00118670077077698,0.00956070277134783,"HGLibA_02738","Enriched in ToxA"
"HGLibA_11475","CST9L",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibA_11475","Depleted in ToxA"
"HGLibA_19214","GLA",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibA_19214","Depleted in ToxA"
"HGLibA_20591","GTF3C5",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibA_20591","Depleted in ToxA"
"HGLibA_21741","HMHB1",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibA_21741","Depleted in ToxA"
"HGLibA_29418","MLLT3",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibA_29418","Depleted in ToxA"
"HGLibA_30763","MYL4",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibA_30763","Depleted in ToxA"
"HGLibA_31591","NECAB3",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibA_31591","Depleted in ToxA"
"HGLibA_43210","SEC16B",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibA_43210","Depleted in ToxA"
"HGLibA_46401","SPANXN1",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibA_46401","Depleted in ToxA"
"HGLibB_06335","C4orf47",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_06335","Depleted in ToxA"
"HGLibB_10482","COIL",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_10482","Depleted in ToxA"
"HGLibB_10818","COX4I1",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_10818","Depleted in ToxA"
"HGLibB_11543","CT62",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_11543","Depleted in ToxA"
"HGLibB_11698","CTSH",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_11698","Depleted in ToxA"
"HGLibB_12020","CYFIP1",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_12020","Depleted in ToxA"
"HGLibB_12709","DDX47",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_12709","Depleted in ToxA"
"HGLibB_30048","MRPS31",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_30048","Depleted in ToxA"
"HGLibB_37994","PPP1R14D",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_37994","Depleted in ToxA"
"HGLibB_42126","RPS6KB2",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_42126","Depleted in ToxA"
"HGLibB_42529","S100G",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_42529","Depleted in ToxA"
"HGLibB_43032","SCYL1",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_43032","Depleted in ToxA"
"HGLibB_46320","SPAM1",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_46320","Depleted in ToxA"
"HGLibB_48813","TCTN1",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_48813","Depleted in ToxA"
"HGLibB_52617","UBE3B",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_52617","Depleted in ToxA"
"HGLibB_56163","ZNF557",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_56163","Depleted in ToxA"
"HGLibB_56298","ZNF605",-5.81416310709584,3.64514810222565,10.5093539038413,0.00118771776080886,0.00956070277134783,"HGLibB_56298","Depleted in ToxA"
"HGLibB_28618","MCTS1",5.52120803572562,3.54653324909792,10.5090085230081,0.00118793977674748,0.00956070277134783,"HGLibB_28618","Enriched in ToxA"
"HGLibA_23062","IL1RL1",4.09554694306738,4.66984382867195,10.5081107761138,0.00118851705826146,0.00956070277134783,"HGLibA_23062","Enriched in ToxA"
"HGLibA_32192","NMRAL1",-6.45671410105166,4.07198281990162,10.5048471830986,0.00119061805123004,0.00956070277134783,"HGLibA_32192","Depleted in ToxA"
"HGLibA_51589","TRIM67",-6.45671410105166,4.07198281990162,10.5048471830986,0.00119061805123004,0.00956070277134783,"HGLibA_51589","Depleted in ToxA"
"HGLibB_03298","ASIC1",-6.45671410105166,4.07198281990162,10.5048471830986,0.00119061805123004,0.00956070277134783,"HGLibB_03298","Depleted in ToxA"
"HGLibA_08037","CCL5",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibA_08037","Depleted in ToxA"
"HGLibA_16525","FAM222B",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibA_16525","Depleted in ToxA"
"HGLibA_21118","HELQ",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibA_21118","Depleted in ToxA"
"HGLibA_26081","LBR",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibA_26081","Depleted in ToxA"
"HGLibA_28514","MBNL3",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibA_28514","Depleted in ToxA"
"HGLibA_31733","NEUROD1",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibA_31733","Depleted in ToxA"
"HGLibA_39311","PTGDS",-5.81442979467966,3.6452929779669,10.5047960083173,0.00119065102576613,0.00956070277134783,"HGLibA_39311","Depleted in ToxA"
